ext_gene,flybase_gene_id,frequency_FC0.5_wake,frequency_FC1_wake,qualifies_FC0.5_4plus,qualifies_FC1_4plus,qualifying_thresholds,source_files,is_cycling_FC0.5_wake,ZT_cyclers_FC0.5_wake,sleep_corr_exps_FC0.5_wake,wake_corr_exps_FC0.5_wake,Baseline_FC0.5_wake,MechSD3_FC0.5_wake,MechSD6_FC0.5_wake,MechSD12_FC0.5_wake,R85C10>TrpA1_FC0.5_wake,R23E10>ChR_FC0.5_wake,THIP_FC0.5_wake,is_cycling_FC1_wake,ZT_cyclers_FC1_wake,sleep_corr_exps_FC1_wake,wake_corr_exps_FC1_wake,Baseline_FC1_wake,MechSD3_FC1_wake,MechSD6_FC1_wake,MechSD12_FC1_wake,R85C10>TrpA1_FC1_wake,R23E10>ChR_FC1_wake,THIP_FC1_wake
RpS28b,FBgn0030136,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=0.734",0.564,0.997,0.593,qval=0.5158,qval=0.0676,0.531,,,,,,,,,,,
RpS29,FBgn0261599,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.04, qval=0.0557",0.554,1.016,0.525,qval=0.8996,qval=0.7991,0.659,,,,,,,,,,,
RpS3,FBgn0002622,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
THIP","Peak=20, log2b=1.117, qval=0.1065",0.807,0.98,0.734,qval=0.3288,qval=0.0895,0.545,,,,,,,,,,,
RpS9,FBgn0010408,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR,
THIP","Peak=20, log2b=1.119, qval=0.2261",0.701,0.878,0.553,qval=0.4494,0.565,0.647,,,,,,,,,,,
Rpb11,FBgn0032634,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.054",0.543,1.052,0.531,qval=0.5796,qval=0.6137,qval=0.9489,,,,,,,,,,,
SdhD,FBgn0039112,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.103",0.679,0.732,0.53,qval=0.4484,qval=0.953,qval=0.4476,,,,,,,,,,,
Smn,FBgn0036641,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.224, qval=0.9609",0.515,1.071,0.735,qval=0.2268,0.694,qval=0.8049,,,,,,,,,,,
Spase12,FBgn0040623,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.291",0.994,1.321,0.911,qval=0.6885,qval=0.0848,qval=0.8836,,,,,,,,,,,
Syx16,FBgn0031106,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=0.946, qval=0.2662",0.693,0.991,0.619,qval=0.6037,0.533,qval=1.0,,,,,,,,,,,
Syx4,FBgn0024980,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R85C10>TrpA1","Peak=8, log2b=1.183, qval=0.4246",0.699,0.729,0.579,0.825,qval=0.848,qval=0.4474,,,,,,,,,,,
Syx8,FBgn0036643,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=0.891, qval=0.2509",0.581,0.687,0.502,qval=0.5168,0.719,qval=1.0,,,,,,,,,,,
Tim8,FBgn0027359,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.064",0.608,0.811,0.581,qval=0.1489,qval=0.6136,qval=0.3997,,,,,,,,,,,
Tim9b,FBgn0027358,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.202",0.68,0.992,0.791,qval=0.5969,qval=1.0,qval=1.0,,,,,,,,,,,
UQCR-11,FBgn0260008,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.589",0.745,1.323,0.822,qval=0.5814,-,-,,,,,,,,,,,
UQCR-6.4,FBgn0034245,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.297",0.928,1.143,0.896,qval=0.705,qval=0.1096,qval=1.0,,,,,,,,,,,
UQCR-Q,FBgn0036728,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.772",0.579,0.763,0.558,qval=0.7292,qval=0.2334,qval=0.6229,,,,,,,,,,,
c12.1,FBgn0040235,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.846",0.643,0.833,0.638,qval=0.2699,qval=0.1366,qval=0.9926,,,,,,,,,,,
cl,FBgn0000318,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.818",0.654,0.832,0.528,qval=0.161,qval=0.1231,qval=1.0,,,,,,,,,,,
cype,FBgn0015031,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.939",0.802,0.87,0.654,qval=0.6867,qval=0.4442,qval=1.0,,,,,,,,,,,
l(1)G0004,FBgn0027334,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,FALSE,-,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.073, qval=0.1871",0.754,0.963,0.536,qval=0.2971,0.786,qval=0.5228,,,,,,,,,,,
mRpL33,FBgn0040907,4,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_4_n=82genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.483",1.058,1.546,1.076,qval=0.6421,qval=0.3136,qval=0.7579,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.483",1.058,1.546,1.076,qval=0.6421,qval=0.3136,qval=0.7579
mRpL36,FBgn0042112,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.174",0.882,1.025,0.861,qval=0.305,qval=0.2155,qval=0.9156,,,,,,,,,,,
mRpL40,FBgn0037892,5,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_5_n=14genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12,
R23E10>ChR","Peak=20, log2b=1.082",0.835,0.772,0.623,qval=0.2509,0.573,qval=0.4957,,,,,,,,,,,
mRpS14,FBgn0044030,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.444",0.84,0.804,0.657,qval=0.9137,qval=0.1269,qval=1.0,,,,,,,,,,,
mRpS18C,FBgn0039765,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
R23E10>ChR","Peak=20, log2b=0.925",0.562,0.695,qval=0.3654,qval=0.71,0.58,qval=0.1761,,,,,,,,,,,
mRpS21,FBgn0044511,4,4,TRUE,TRUE,FC0.5;FC1,FC0.5_Wake_frequency_4_n=82genes.csv;FC1_Wake_frequency_4_n=7genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.696",1.03,1.807,1.001,qval=0.2382,qval=1.0,qval=0.7031,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.696",1.03,1.807,1.001,qval=0.2382,qval=1.0,qval=0.7031
mRpS22,FBgn0039555,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=1.081",0.65,0.659,0.523,qval=0.39,qval=0.0603,qval=1.0,,,,,,,,,,,
udd,FBgn0033261,4,,TRUE,FALSE,FC0.5,FC0.5_Wake_frequency_4_n=82genes.csv,TRUE,Baseline,-,"MechSD3,
MechSD6,
MechSD12","Peak=20, log2b=0.8",0.649,1.019,0.601,qval=0.6218,qval=0.5812,qval=1.0,,,,,,,,,,,
